name,country,lat,lon,population,elev_m,pga_475_g,seismic,vs30,precip,wtd,dw_km,pgv,full_dTWS_cm,recent_dTWS_cm,full_trend_cm_yr,recent_trend_cm_yr,full_p,recent_p,reversal,dist_lake_km,gw_clean,P0_full,dP_full,wtdnew_full,dLSE_full,P0_recent,dP_recent,wtdnew_recent,dLSE_recent
Luzhou,CN,28.8903,105.42575,998900,256,0.1971011047434862,True,260.203125,1130.0,1.586938277256479,0.8434698243891883,19.710110474348618,15.64,6.29,0.7136,0.6356,0.0,0.01952,False,2511.698768826794,True,0.3810304064247856,0.012356926467266494,0.02293827725647901,1.241524809325952,0.3810304064247856,0.00495212365595632,0.9579382772564792,0.4865879142665044
Ranchi,IN,23.34316,85.3094,1120374,643,0.1272203,True,324.3065490722656,1398.0,3.2806897077897474,4.519244043659992,12.72203,-4.89,11.29,-0.2232,1.1405,0.15627,0.03456,True,2213.411166391311,True,0.15183674228264088,-0.002085185291534397,3.7696897077897473,-0.012663503464051318,0.15183674228264088,0.004905292216513174,2.151689707789748,0.03150243775915623
Ciudad Guayana,VE,8.35122,-62.64102,978202,103,0.0609216311130317,True,438.891357421875,1269.0,24.00244144350347,3.3409581085302,6.09216311130317,16.99,32.62,0.7751,3.2946,8e-05,0.0,False,2443.4222508018074,True,0.044604315160460234,0.0024740874914844016,22.303441443503473,0.0025844826732048173,0.044604315160460234,0.004864881744891733,20.74044144350347,0.0051897047492169765
Haikou,CN,20.03421,110.34651,2873358,9,0.0606846,True,320.0976867675781,1697.0,1.4190890363927906,2.162402121684889,6.06846,11.69,8.16,0.5333,0.8239,0.0,0.00928,False,3529.3580934500633,True,0.22536624203154929,0.006868415743842504,0.2500890363927908,0.1347400461560495,0.22536624203154929,0.004779097140629074,0.6030890363927905,0.0923850271033202
Jing’an,CN,31.22,121.41583,936500,32,0.0507968402419307,True,226.0771942138672,1049.0,4.104676890211351,0.870828709193776,5.07968402419307,8.63,6.51,0.3939,0.6576,0.0,0.00162,False,2608.3748763706526,True,0.30966996056815854,0.006176789518708148,3.2416768902113513,0.33783794260671307,0.30966996056815854,0.004653284592404827,3.4536768902113515,0.25251344428975386
Vijayawada,IN,16.50745,80.6466,1143232,47,0.06847776,True,478.8851623535156,907.0,5.859464408331462,3.141960075467141,6.847776,11.36,23.21,0.5183,2.3443,3e-05,0.0,False,2868.5582876472836,True,0.06046931500298672,0.0021852322690779913,4.723464408331462,0.002996505788575937,0.06046931500298672,0.004543091882138667,3.5384644083314623,0.006358768048884841
Zhabei,CN,31.25861,121.45972,840000,10,0.0543976236497186,True,224.72799682617188,1049.0,3.0365453574426056,1.8840728118856176,5.43976236497186,8.63,6.51,0.3939,0.6576,0.0,0.00162,False,2606.2094989525463,True,0.2809287858449564,0.005841655011046054,2.1735453574426056,0.2324911996622454,0.2809287858449564,0.004399909019489334,2.3855453574426058,0.17362951382347047
Kaifeng,CN,34.7986,114.30742,1451741,76,0.0997951691928758,True,187.62701416015625,628.0,1.7700465400168357,11.03332152556843,9.97951691928758,-40.16,22.55,-1.8324,2.2778,0.0,2e-05,True,1998.2814198029541,True,0.07901016658668171,-0.009199755019167144,5.786046540016835,-0.015743999398502073,0.07901016658668171,0.004396939206460337,0.0,0.008443969335351187
Qinhuangdao,CN,39.94104,119.58936,759718,2,0.1847800918294732,True,234.6234893798828,614.0,1.1596856641489808,4.0203159583287285,18.47800918294732,0.86,7.21,0.0395,0.7283,0.3578,0.0,False,1679.3106841299418,True,0.2269505878939417,0.0005028294286127666,1.0736856641489807,0.009643991065728219,0.2269505878939417,0.004239879892171672,0.4386856641489808,0.083471735228408
Nagoya,JP,35.18147,136.90641,2332176,23,0.4578695,True,156.6999969482422,1974.0,12.802319371328338,10.286121018355862,45.78695,6.74,6.57,0.3077,0.664,0.0,1e-05,False,2970.4201863811445,True,0.2520813183052804,0.004255044919145912,12.128319371328338,0.11743995772657878,0.2520813183052804,0.004147145276507391,12.145319371328338,0.11438131184746858
Luohe,CN,33.57424,114.03261,1294974,67,0.0534729595322506,True,199.6250915527344,790.0,11.520561532005845,0.9652806881183412,5.34729595322506,-17.26,5.9,-0.7877,0.5955,0.0,0.10562,True,2121.904194377731,True,0.27842975736089753,-0.01139896630517484,13.246561532005845,-0.39740165960746676,0.27842975736089753,0.0039643425300825985,10.930561532005845,0.15150725346866745
Putuo,CN,31.251,121.3897,1239100,10,0.0503584899999993,True,217.3177490234375,1049.0,2.1972991531243338,3.3595569007410666,5.03584899999993,8.63,6.51,0.3939,0.6576,0.0,0.00162,False,2604.2070385290062,True,0.23569380193435863,0.00521617048428985,1.3342991531243338,0.11657612367398129,0.23569380193435863,0.003927527161828009,1.546299153124334,0.08700532167450303
Hanzhong,CN,33.07507,107.02214,1006557,517,0.1400477000011399,True,241.13682556152344,851.0,3.64690623331046,3.7579241939182646,14.00477000011399,6.26,6.76,0.2854,0.6823,0.0,0.00039,False,2053.8071921697447,True,0.21900588444603977,0.0035863913094269506,3.02090623331046,0.06286806876294992,0.21900588444603977,0.003874644231499247,2.97090623331046,0.06806085223926095
Benghazi,LY,32.11486,20.06859,757490,3,0.0783412446839008,True,238.5429229736328,227.0,6.332494087129021,3.9734942709756456,7.83412446839008,3.53,9.67,0.1609,0.9766,1e-05,0.0,False,1947.2804822600224,True,0.12831764450278224,0.001320566203742768,5.979494087129021,0.005635379181268579,0.12831764450278224,0.003645076159717625,5.365494087129021,0.015855428319769188
Accra,GH,5.55602,-0.1969,1963264,33,0.0840799599994307,True,338.271240234375,925.0,11.53582055390251,11.697926397713385,8.40799599994307,57.79,53.73,2.6367,5.4265,0.0,0.0,False,1783.6883318332966,True,0.01899036920626472,0.003937448510519467,5.756820553902512,0.002663098864496366,0.01899036920626472,0.003636521692033323,6.162820553902511,0.002453004003270934
Jabalpur,IN,23.16697,79.95006,1081677,416,0.1361818,True,382.1177368164063,1238.0,2.2583352407111192,7.089875175554792,13.61818,8.25,16.07,0.3763,1.6226,0.00635,0.00107,False,2124.485380437506,True,0.06961290146172097,0.0018004852628631385,1.4333352407111193,0.0028795772070543124,0.06961290146172097,0.003546719414641089,0.6513352407111193,0.005758556066306791
