name,country,lat,lon,population,population_million,P0,dP,dP_lo,dP_hi,p_two_zero_aware,zero_exact_dP,fdr_bh_zero_aware,fdr_by_zero_aware,material_bh_zero_aware,material_by_zero_aware,static_counterfactual_tier,observed_tier_bh,observed_tier_by,direction_side,ab_followup_bh,ab_followup_by,detectable_update_bh,detectable_update_by,screening_tier,policy_action,susceptibility_proxy_count
Benghazi,LY,32.11486,20.06859,757490,0.75749,0.1283176445027822,0.0036816993522627,0.0014337018513617,0.0062601803119683,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Accra,GH,5.55602,-0.1969,1963264,1.963264,0.0189903692062647,0.0036759540436972,0.001421571951441,0.0065256269737419,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,1
Jabalpur,IN,23.16697,79.95006,1081677,1.081677,0.0696129014617209,0.0035819517574923,0.0010560839536029,0.0050311073545877,0.0004999999999999,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,1
Manila,PH,14.6042,120.9822,1600000,1.6,0.5352704588103365,0.0034897418002498,0.0006980618544253,0.0063995104776926,0.0115,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,4
Nanchong,CN,30.79508,106.08473,1858875,1.858875,0.1355041951268771,0.0033759501018316,0.0010048234267957,0.0061062500877847,0.0009999999999998,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Linfen,CN,36.08889,111.51889,959198,0.959198,0.1252626239043494,0.0033597281576323,0.0005740557914018,0.00663916967876,0.0249999999999999,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Jamshedpur,IN,22.80278,86.18545,1339438,1.339438,0.0918417748652872,0.003275903248584,0.0005394679193755,0.006624209526085,0.0235,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,1
Xuhui,CN,31.19594,121.44709,1109800,1.1098,0.169149714833768,0.0030998488024287,0.000877337799885,0.0053684863250866,0.0009999999999998,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Maracaibo,VE,10.64232,-71.61089,1752602,1.752602,0.0717790091622781,0.0029827278373295,0.0011005920738077,0.0051091500449268,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Malingao,PH,7.16083,124.475,1121974,1.121974,0.4150683750823353,0.0029638183406366,0.0008033863604452,0.0029638183406366,0.004,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Dalian,CN,38.91222,121.60222,4913879,4.913879,0.0675900577208251,0.002896224481439,0.0010760466035981,0.0049673568670224,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,1
Budta,PH,7.20417,124.43972,1273715,1.273715,0.3195365565377467,0.0028907748123359,0.0007181867105477,0.0053559100879757,0.0055,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Mombasa,KE,-4.05466,39.66359,1208333,1.208333,0.1989880344847455,0.0028114281985759,0.0011204678584026,0.004696259038271,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Chennai,IN,13.08784,80.27847,4681087,4.681087,0.2607011320522958,0.0026832935777019,0.0010730789082865,0.0045235594281931,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,3
Cartagena,CO,10.39817,-75.49328,914552,0.914552,0.1490912597771801,0.0026785270490979,0.0004797008400966,0.0053139105911917,0.0204999999999999,False,True,False,False,False,D static-routine baseline,C detectable sub-material update,D static-routine baseline,increase-side,False,False,True,False,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
Virār,IN,19.45591,72.81136,1222390,1.22239,0.1539720100433315,0.0025991780956606,0.0019959944961017,0.0025991780956606,0.000249937515621,False,True,True,False,False,D static-routine baseline,C detectable sub-material update,C detectable sub-material update,increase-side,False,False,True,True,C detectable but sub-material,Screen recharge or recovery plans for liquefaction sensitivity,2
