city_row_id,name,country,lat,lon,population,pga,wtd,tws_cm_yr,reversal,dP,dP_lo,dP_hi,p_two,ci_excl0,fdr_sig,pga_475_g,vs30,precip,dw_km,is_material_hotspot,ghsl_uc_id,ghsl_uc_name,ghsl_country_name,ghsl_area_km2,ghsl_pop_2025,ghsl_match_method,distance_to_ghsl_centroid_km,ghsl_matched
64,Xianyang,CN,34.33778,108.70261,1034081,0.0907892488942864,3.0365453574426056,0.4512,True,0.0018758121915692,0.0006174797351954,0.0033192355079055,0.0,True,True,0.0907892488942864,288.21337890625,607.0,3.281209554576678,False,7915.0,Xianyang,China,113.0,564730.9671,within_polygon,0.0,True
65,Hamamatsu,JP,34.7,137.73333,791707,0.7980442000000426,0.2441443503471987,0.2575,False,0.0018496808038376,0.0005196211928647,0.0018496808038376,0.0044999999999999,True,True,0.7980442000000426,282.1000061035156,2021.0,5.597182522288186,False,5831.0,Hamamatsu,Japan,254.0,267033.0184,within_polygon,0.0,True
66,Karachi,PK,24.8608,67.0104,11624219,0.2104098999919154,11.779964904249653,0.44,False,0.0018106153343679,0.0004986582433334,0.0032892303975454,0.0004999999999999,True,True,0.2104098999919154,214.9311370849609,162.0,4.867763345184103,False,2457.0,Karachi,Pakistan,834.0,21031702.73,within_polygon,0.0,True
67,Shanghai,CN,31.22222,121.45806,24874500,0.05296031,0.2899214160372594,0.6576,False,0.0017738693845824,0.0011479908468059,0.0017738693845824,0.0009999999999998,True,True,0.05296031,228.84739685058597,1049.0,3.107094983087166,False,11345.0,Shanghai,China,3128.0,30678616.23,within_polygon,0.0,True
68,Tainan,TW,22.99083,120.21333,1856642,0.6576578501474174,4.486152437628789,0.1935,False,0.001610778367505,0.0003473925302693,0.0031410837688323,0.012,True,True,0.6576578501474174,208.47552490234372,2245.0,5.071396979016769,False,1744.0,Tainan,Taiwan,202.0,1010791.827,within_polygon,0.0,True
69,Kitakyushu,JP,33.85181,130.85034,940978,0.2292976253441503,0.4882887006943406,0.407,False,0.0015969601989614,0.0003990257258993,0.0019178033808634,0.0024999999999999,True,True,0.2292976253441503,391.7000122070313,1721.0,5.658078522498746,False,1027.0,Kitakyushu,Japan,388.0,1208934.612,nearest_representative_point_le50km,6.557434035711661,True
70,Lanzhou,CN,36.05701,103.83987,3000000,0.0837336089308837,17.456321049820758,0.4924,False,0.0015712382400322,0.0005254058927755,0.0026973148455408,0.0,True,True,0.0837336089308837,243.3724822998047,334.0,3.397202569436719,False,4356.0,Lanzhou,China,250.0,2689402.429,within_polygon,0.0,True
71,Hiroshima,JP,34.4,132.45,1200754,0.350937245802441,0.6408789196613043,0.1934,True,0.0015640616549372,0.0002325757333331,0.0031389375482984,0.032,True,True,0.350937245802441,207.5,1907.0,5.409366507511519,False,2921.0,Hiroshima,Japan,338.0,1150147.517,within_polygon,0.0,True
72,Davao,PH,7.07306,125.61278,1848947,0.4845108999999862,0.6103608758679115,0.1836,False,0.0015205006009754,-0.0001473050299545,0.0033683151395163,0.1525,False,False,0.4845108999999862,238.9282684326172,1920.0,2.289362460020071,False,5872.0,Davao City,Philippines,227.0,1651085.903,within_polygon,0.0,True
73,Neijiang,CN,29.58354,105.06216,1251095,0.2026418999999999,41.30617227435727,0.9115,False,0.0014456937895842,0.0004341375853454,0.0025665249670705,0.0,True,True,0.2026418999999999,394.89263916015625,1079.0,2.451926539738705,False,7831.0,Neijiang,China,37.0,316065.1001,within_polygon,0.0,True
74,Santiago de los Caballeros,DO,19.45036,-70.69085,1200000,0.5522715806493135,18.02090485999849,0.2709,False,0.0014016720464758,0.0002620946555143,0.0027149906755611,0.016,True,True,0.5522715806493135,349.0228271484375,1182.0,1.893056959046609,False,798.0,Santiago de los Caballeros,Dominican Republic,117.0,678295.8372,within_polygon,0.0,True
75,Port-au-Prince,HT,18.54349,-72.33881,1234742,0.412546161369622,10.833905546654478,0.2663,False,0.0013811960865968,0.0003490050206672,0.0025979786018036,0.0055,True,True,0.412546161369622,422.4088745117188,1195.0,0.8166687863346503,False,1269.0,Port-au-Prince,Haiti,275.0,1733377.8,within_polygon,0.0,True
76,Hyderabad,PK,25.39689,68.37718,1921275,0.1405366,9.781033035782457,0.6834,True,0.0013306612472312,0.0003534559071621,0.0024121508614403,0.0015,True,True,0.1405366,322.2336120605469,158.0,5.298445403991156,False,5678.0,Hyderabad,Pakistan,144.0,2956488.276,within_polygon,0.0,True
