city_row_id,name,country,lat,lon,population,pga,wtd,tws_cm_yr,dP,fdr_sig,gfz_grid_lat,gfz_grid_lon,gfz_nearest_finite_grid_distance_km,gfz_tws_cm_yr,gfz_tws_p,gfz_tws_n_months,gfz_leakage_corrected_tws_cm_yr,gfz_leakage_corrected_p,gfz_leakage_corrected_n_months,gfz_dP_sy010,gfz_leakage_corrected_dP_sy010,csr_sign,gfz_sign,gfz_leakage_corrected_sign,csr_gfz_sign_match,csr_gfz_leakage_corrected_sign_match,gfz_material_sy010,gfz_targeted_sy010,gfz_leakage_corrected_material_sy010,gfz_leakage_corrected_targeted_sy010
64,Xianyang,CN,34.33778,108.70261,1034081,0.0907892488942864,3.0365453574426056,0.4512,0.0018758121915692,True,34.5,108.5,0.0,0.5807279143082577,0.004667952293107074,100,1.7542953435130073,0.006967299619589471,100,0.0024179987602424013,0.007405903014280624,1,1,1,True,True,False,False,False,True
65,Hamamatsu,JP,34.7,137.73333,791707,0.7980442000000426,0.2441443503471987,0.2575,0.0018496808038376,True,35.5,137.5,91.4535355869419,0.44968902587737325,0.00028051750528213876,100,0.20959526288727504,0.6294487912634057,100,0.0018496808038376833,0.0015876571738579481,1,1,1,True,True,False,False,False,False
66,Karachi,PK,24.8608,67.0104,11624219,0.2104098999919154,11.779964904249653,0.44,0.0018106153343679,True,24.5,67.5,0.0,0.7261042628856604,0.0005835975998402469,100,1.6144561336745418,0.001025419804031852,100,0.0029980866808499707,0.006736438895084046,1,1,1,True,True,False,False,False,True
67,Shanghai,CN,31.22222,121.45806,24874500,0.05296031,0.2899214160372594,0.6576,0.0017738693845824,True,31.5,121.5,0.0,0.21687077299127308,0.16718504423176556,100,-0.42229952763216927,0.3715311523348765,100,0.0013260819947741032,-0.0025680244387058238,1,1,-1,True,False,False,False,False,False
68,Tainan,TW,22.99083,120.21333,1856642,0.6576578501474174,4.486152437628789,0.1935,0.001610778367505,True,22.5,120.5,0.0,0.015520641974403535,0.8927823442128272,100,-0.7601414682925725,0.13070643284994396,100,0.00012919728720639512,-0.006326449751943242,1,1,-1,True,False,False,False,False,True
69,Kitakyushu,JP,33.85181,130.85034,940978,0.2292976253441503,0.4882887006943406,0.407,0.0015969601989614,True,33.5,130.5,0.0,0.1459774174120193,0.17945182576348465,100,0.70647467913042,0.10198531318799707,100,0.000570967210112322,0.0019178033808634753,1,1,1,True,True,False,False,False,False
70,Lanzhou,CN,36.05701,103.83987,3000000,0.0837336089308837,17.456321049820758,0.4924,0.0015712382400322,True,36.5,103.5,0.0,0.1308294232720509,0.44485876540902275,100,-0.6403060124139518,0.3102873777606168,100,0.00041550170175709555,-0.002013104134310162,1,1,-1,True,False,False,False,False,False
71,Hiroshima,JP,34.4,132.45,1200754,0.350937245802441,0.6408789196613043,0.1934,0.0015640616549372,True,34.5,132.5,0.0,0.22919609547860645,0.037785530150539814,100,1.0071298692776716,0.010776687674966055,100,0.0018537372854608991,0.005189326179235676,1,1,1,True,True,False,False,False,True
72,Davao,PH,7.07306,125.61278,1848947,0.4845108999999862,0.6103608758679115,0.1836,0.0015205006009754,False,7.5,125.5,0.0,-0.16376263099848043,0.2114466005271035,100,-1.0257508276496323,0.048062132101198585,100,-0.0013567709543257367,-0.008506154781302788,1,-1,-1,False,False,False,False,False,True
73,Neijiang,CN,29.58354,105.06216,1251095,0.2026418999999999,41.30617227435727,0.9115,0.0014456937895842,True,29.5,105.5,0.0,0.6523588319742565,0.002403137603818627,100,0.30367032271313016,0.5702295571053143,100,0.0010306568021116458,0.0004772598008569995,1,1,1,True,True,False,False,False,False
74,Santiago de los Caballeros,DO,19.45036,-70.69085,1200000,0.5522715806493135,18.02090485999849,0.2709,0.0014016720464758,True,19.5,289.5,0.0,0.12413702025769568,0.30380143223100076,100,0.12353510895224185,0.8142898984350205,100,0.0006413356110691326,0.0006382219849129511,1,1,1,True,True,False,False,False,False
75,Port-au-Prince,HT,18.54349,-72.33881,1234742,0.412546161369622,10.833905546654478,0.2663,0.0013811960865968,True,18.5,287.5,0.0,0.30776504565923446,0.017459953674504876,100,0.6777605585988675,0.1813759358829027,100,0.0015969361760673484,0.0035300799841707087,1,1,1,True,True,False,False,False,False
76,Hyderabad,PK,25.39689,68.37718,1921275,0.1405366,9.781033035782457,0.6834,0.0013306612472312,True,25.5,68.5,0.0,0.9821242068374367,0.00011202789067217027,100,3.200044939906398,1.5926951926026442e-06,100,0.001920681897766778,0.006464817952918735,1,1,1,True,True,False,False,False,True
77,Nay Pyi Taw,MM,19.745,96.12972,925000,0.7756317,0.7476920729381504,0.4398,0.0013303005997146,False,19.5,96.5,0.0,0.5088559854752731,0.3675961036680296,100,0.7269091425941987,0.4333288148364931,100,0.0015405947913543772,0.0022071576870496407,1,1,1,True,True,False,False,False,False
78,Zhengzhou,CN,34.75778,113.64861,4253913,0.0933468099999583,1.831082627603621,1.526,0.0012674802393856,True,34.5,113.5,0.0,0.8785096909439026,0.0027231809673145847,100,4.450081144900089,7.295894042683662e-07,100,0.0007222093330729942,0.0015282868465959602,1,1,1,True,True,False,False,False,False
79,Anyang,CN,36.096,114.38278,1146839,0.0894178111152896,5.004959182116465,2.7657,0.0012147377205101,True,36.5,114.5,0.0,0.7397972591452658,0.011348802872816206,100,4.425303284307602,7.72399667453958e-07,100,0.00031433646677052167,0.0019976322026455332,1,1,1,True,True,False,False,False,False
80,Fukuoka,JP,33.6,130.41667,1612392,0.2703739154132848,0.1373311970702957,0.407,0.0011292210388418,True,33.5,130.5,0.0,0.1459774174120193,0.17945182576348465,100,0.70647467913042,0.10198531318799707,100,0.0011292210388418322,0.0011292210388418322,1,1,1,True,True,False,False,False,False
